1998,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between # and #
2019-02-28 13:27:00,1
2019-03-01 00:28:00,5
2019-03-01 00:29:00,9
2019-03-01 00:30:00,8
2019-03-01 00:31:00,5
2019-03-01 00:32:00,9
2019-03-01 00:33:00,8
2019-03-01 00:34:00,4
2019-03-01 10:59:00,4
2019-03-01 13:07:00,1
2019-03-01 13:08:00,1
2019-03-01 13:14:00,1
2019-03-02 04:53:00,2
2019-03-02 04:54:00,1
2019-03-02 04:59:00,2
2019-03-02 05:02:00,1
2019-03-02 05:11:00,2
2019-03-02 05:12:00,1
2019-03-02 05:18:00,1
2019-03-02 05:22:00,2
2019-03-02 05:25:00,2
2019-03-02 05:26:00,1
2019-03-02 05:30:00,2
2019-03-02 05:31:00,1
2019-03-02 05:32:00,1
2019-03-02 05:33:00,1
2019-03-02 05:39:00,1
2019-03-02 05:40:00,2
2019-03-02 05:51:00,1
2019-03-02 06:00:00,1
2019-03-02 06:06:00,1
2019-03-02 06:17:00,1
2019-03-02 06:33:00,3
2019-03-02 06:34:00,2
2019-03-02 06:35:00,3
2019-03-02 06:36:00,2
2019-03-02 06:37:00,2
2019-03-02 06:38:00,3
2019-03-02 06:39:00,3
2019-03-02 06:40:00,1
2019-03-02 06:41:00,3
2019-03-02 06:42:00,1
2019-03-02 06:43:00,1
2019-03-02 06:44:00,1
2019-03-02 06:45:00,2
2019-03-02 06:46:00,1
2019-03-02 06:47:00,1
2019-03-02 06:48:00,1
2019-03-02 06:49:00,1
2019-03-02 06:50:00,1
2019-03-02 06:54:00,1
2019-03-02 06:56:00,1
2019-03-02 07:05:00,1
2019-03-02 07:06:00,2
2019-03-02 07:08:00,5
2019-03-02 07:09:00,4
2019-03-02 07:10:00,3
2019-03-02 07:11:00,2
2019-03-02 07:12:00,2
2019-03-02 07:13:00,1
2019-03-02 07:14:00,2
2019-03-02 07:15:00,1
2019-03-02 07:16:00,2
2019-03-02 07:17:00,1
2019-03-02 07:20:00,1
2019-03-02 07:23:00,2
2019-03-02 07:30:00,1
2019-03-02 07:31:00,1
2019-03-02 07:32:00,2
2019-03-02 07:35:00,3
2019-03-02 07:36:00,3
2019-03-02 07:37:00,3
2019-03-02 07:38:00,2
2019-03-02 07:39:00,5
2019-03-02 07:40:00,4
2019-03-02 07:41:00,2
2019-03-02 07:42:00,2
2019-03-02 07:43:00,3
2019-03-02 07:44:00,4
2019-03-02 07:53:00,2
2019-03-02 07:54:00,1
2019-03-02 07:55:00,1
2019-03-02 07:56:00,2
2019-03-02 07:57:00,1
2019-03-02 07:58:00,1
2019-03-02 07:59:00,1
2019-03-02 08:00:00,2
2019-03-02 08:02:00,2
2019-03-02 08:03:00,1
2019-03-02 08:04:00,3
2019-03-02 08:05:00,3
2019-03-02 08:06:00,1
2019-03-02 08:10:00,2
2019-03-02 08:11:00,3
2019-03-02 08:12:00,3
2019-03-02 08:13:00,1
2019-03-02 08:14:00,1
2019-03-02 08:15:00,1
2019-03-02 08:47:00,78
2019-03-02 08:48:00,51
2019-03-02 09:09:00,1
2019-03-02 17:35:00,1
2019-03-02 17:36:00,1
2019-03-02 17:37:00,1
2019-03-02 17:38:00,1
2019-03-02 17:39:00,2
2019-03-02 17:40:00,2
2019-03-02 17:41:00,1
2019-03-02 17:42:00,1
2019-03-02 17:44:00,2
2019-03-02 17:45:00,1
2019-03-02 17:46:00,3
2019-03-02 17:47:00,1
2019-03-02 17:48:00,1
2019-03-02 17:50:00,1
2019-03-02 17:51:00,1
2019-03-02 17:52:00,1
2019-03-02 17:53:00,2
2019-03-02 17:54:00,1
2019-03-02 17:55:00,1
2019-03-02 18:16:00,3
2019-03-02 18:17:00,1
2019-03-02 18:18:00,1
2019-03-02 18:19:00,1
2019-03-02 18:20:00,3
2019-03-02 18:21:00,4
2019-03-02 18:22:00,2
2019-03-02 18:23:00,2
2019-03-02 18:24:00,2
2019-03-02 18:25:00,2
2019-03-02 18:36:00,1
2019-03-02 18:40:00,1
2019-03-02 18:50:00,1
2019-03-02 18:51:00,1
2019-03-02 19:40:00,3
2019-03-02 19:41:00,1
2019-03-02 19:43:00,1
2019-03-02 19:44:00,1
2019-03-02 19:45:00,2
2019-03-02 19:46:00,3
2019-03-02 19:47:00,3
2019-03-02 19:48:00,4
2019-03-02 19:49:00,1
2019-03-02 19:50:00,2
2019-03-02 20:30:00,1
2019-03-02 20:47:00,1
2019-03-02 21:25:00,1
2019-03-02 21:27:00,1
2019-03-02 23:02:00,1
2019-03-03 04:13:00,1
2019-03-03 04:15:00,1
2019-03-03 04:30:00,1
2019-03-03 04:31:00,1
2019-03-03 10:32:00,4
2019-03-03 10:33:00,1
2019-03-03 13:09:00,5
2019-03-03 13:33:00,1
2019-03-03 16:01:00,1
2019-03-03 16:31:00,1
2019-03-03 17:12:00,4
2019-03-03 17:13:00,11
2019-03-03 17:14:00,7
2019-03-03 18:00:00,3
2019-03-03 18:01:00,2
2019-03-03 18:02:00,2
2019-03-03 18:03:00,2
2019-03-03 18:04:00,1
2019-03-03 18:05:00,1
2019-03-03 18:06:00,1
2019-03-03 18:07:00,1
2019-03-03 18:08:00,3
2019-03-03 18:09:00,5
2019-03-03 18:10:00,2
2019-03-03 18:11:00,2
2019-03-03 18:12:00,2
2019-03-03 18:13:00,1
2019-03-03 18:14:00,3
2019-03-03 18:15:00,4
2019-03-03 18:16:00,4
2019-03-03 18:17:00,1
2019-03-03 18:18:00,2
2019-03-03 18:19:00,5
2019-03-03 18:20:00,1
2019-03-03 18:29:00,6
2019-03-03 18:30:00,1
2019-03-03 21:27:00,8
2019-03-03 21:28:00,3
2019-03-03 21:32:00,4
2019-03-03 23:07:00,1
2019-03-03 23:15:00,7
2019-03-03 23:16:00,8
2019-03-03 23:46:00,1
2019-03-03 23:48:00,1
2019-03-03 23:49:00,1
2019-03-03 23:50:00,5
2019-03-03 23:51:00,3
2019-03-03 23:52:00,2
2019-03-03 23:53:00,3
2019-03-03 23:54:00,4
2019-03-03 23:55:00,3
2019-03-03 23:56:00,4
2019-03-03 23:57:00,4
2019-03-03 23:58:00,4
2019-03-03 23:59:00,3
2019-03-04 00:47:00,5
2019-03-04 00:48:00,2
2019-03-04 01:26:00,5
2019-03-04 01:27:00,2
2019-03-04 02:08:00,6
2019-03-04 02:09:00,1
2019-03-04 03:18:00,6
2019-03-04 03:19:00,1
2019-03-04 03:23:00,6
2019-03-04 03:24:00,3
2019-03-04 03:38:00,3
2019-03-04 03:39:00,2
2019-03-04 03:43:00,2
2019-03-04 03:54:00,2
2019-03-04 03:55:00,5
2019-03-04 04:29:00,3
2019-03-04 04:30:00,3
2019-03-04 04:32:00,2
2019-03-04 05:28:00,5
2019-03-04 05:29:00,2
2019-03-04 05:36:00,5
2019-03-04 05:37:00,2
2019-03-04 05:52:00,1
2019-03-04 05:53:00,1
2019-03-04 05:54:00,1
2019-03-04 05:55:00,1
2019-03-04 05:56:00,2
2019-03-04 05:57:00,2
2019-03-04 05:58:00,3
2019-03-04 05:59:00,1
2019-03-04 06:03:00,1
2019-03-04 06:04:00,1
2019-03-04 06:08:00,3
2019-03-04 06:13:00,1
2019-03-04 06:14:00,3
2019-03-04 06:22:00,1
2019-03-04 06:25:00,2
2019-03-04 06:27:00,1
2019-03-04 06:31:00,1
2019-03-04 06:32:00,2
2019-03-04 06:33:00,2
2019-03-04 06:36:00,2
2019-03-04 06:37:00,2
2019-03-04 06:39:00,2
2019-03-04 06:40:00,1
2019-03-04 06:41:00,2
2019-03-04 06:42:00,5
2019-03-04 06:44:00,1
2019-03-04 06:45:00,2
2019-03-04 06:47:00,1
2019-03-04 06:48:00,2
2019-03-04 06:49:00,3
2019-03-04 06:50:00,4
2019-03-04 06:52:00,1
2019-03-04 06:53:00,2
2019-03-04 06:54:00,1
2019-03-04 06:55:00,3
2019-03-04 06:56:00,3
2019-03-04 06:57:00,1
2019-03-04 06:58:00,3
2019-03-04 06:59:00,4
2019-03-04 07:00:00,1
2019-03-04 07:18:00,6
2019-03-04 07:19:00,4
2019-03-04 07:20:00,1
2019-03-04 07:21:00,2
2019-03-04 07:22:00,2
2019-03-04 07:23:00,5
2019-03-04 07:24:00,2
2019-03-04 07:25:00,4
2019-03-04 07:26:00,5
2019-03-04 07:27:00,5
2019-03-04 07:28:00,3
2019-03-04 07:29:00,2
2019-03-04 07:30:00,1
2019-03-04 07:31:00,2
2019-03-04 07:32:00,3
2019-03-04 07:33:00,3
2019-03-04 07:34:00,7
2019-03-04 07:35:00,4
2019-03-04 07:36:00,3
2019-03-04 07:37:00,7
2019-03-04 07:38:00,7
2019-03-04 07:39:00,1
2019-03-04 07:44:00,1
2019-03-04 08:25:00,2
2019-03-04 08:27:00,1
2019-03-04 08:28:00,1
2019-03-04 08:29:00,1
2019-03-04 08:30:00,1
2019-03-04 08:31:00,3
2019-03-04 08:32:00,3
2019-03-04 08:33:00,1
2019-03-04 08:34:00,4
2019-03-04 08:35:00,1
2019-03-04 08:36:00,1
2019-03-04 08:37:00,1
2019-03-04 08:38:00,1
2019-03-04 08:42:00,1
2019-03-04 08:44:00,1
2019-03-04 08:45:00,2
2019-03-04 08:46:00,2
2019-03-04 08:47:00,2
2019-03-04 09:00:00,4
2019-03-04 09:01:00,2
2019-03-04 09:02:00,2
2019-03-04 09:03:00,2
2019-03-04 09:04:00,2
2019-03-04 09:05:00,1
2019-03-04 09:06:00,2
2019-03-04 09:07:00,2
2019-03-04 09:08:00,3
2019-03-04 09:09:00,4
2019-03-04 09:10:00,1
2019-03-04 09:39:00,7
2019-03-04 10:45:00,7
2019-03-04 10:53:00,6
2019-03-04 10:54:00,3
2019-03-04 11:10:00,4
2019-03-04 11:11:00,3
2019-03-04 11:15:00,2
2019-03-04 11:17:00,1
2019-03-04 11:18:00,2
2019-03-04 11:19:00,4
2019-03-04 11:20:00,4
2019-03-04 11:21:00,4
2019-03-04 11:22:00,3
2019-03-04 11:23:00,2
2019-03-04 11:24:00,1
2019-03-04 11:40:00,9
2019-03-04 11:41:00,7
2019-03-04 13:10:00,3
2019-03-04 13:11:00,1
2019-03-04 13:12:00,3
2019-03-04 14:46:00,11
2019-03-04 15:11:00,1
2019-03-04 15:12:00,1
2019-03-04 16:01:00,1
2019-03-04 16:02:00,6
2019-03-04 16:58:00,1
2019-03-04 16:59:00,1
2019-03-04 17:06:00,4
2019-03-04 17:07:00,1
2019-03-04 17:08:00,4
2019-03-04 17:09:00,2
2019-03-04 17:10:00,3
2019-03-04 17:11:00,1
2019-03-04 17:13:00,1
2019-03-04 17:16:00,1
2019-03-04 17:18:00,1
2019-03-04 17:19:00,1
2019-03-04 17:20:00,1
2019-03-04 17:21:00,1
2019-03-04 17:22:00,2
2019-03-04 17:23:00,2
2019-03-04 17:24:00,2
2019-03-04 17:25:00,3
2019-03-04 17:27:00,2
2019-03-04 17:30:00,1
2019-03-04 17:31:00,1
2019-03-04 17:32:00,2
2019-03-04 17:33:00,1
2019-03-04 17:34:00,2
2019-03-04 17:35:00,1
2019-03-04 17:36:00,5
2019-03-04 17:42:00,1
2019-03-04 17:44:00,1
2019-03-04 17:46:00,1
2019-03-04 17:52:00,1
2019-03-04 18:45:00,5
2019-03-04 18:46:00,2
2019-03-04 18:47:00,3
2019-03-04 18:48:00,1
2019-03-04 18:49:00,3
2019-03-04 18:50:00,2
2019-03-04 18:51:00,2
2019-03-04 18:52:00,3
2019-03-04 18:53:00,2
2019-03-04 18:54:00,3
2019-03-04 18:55:00,1
2019-03-04 18:56:00,2
2019-03-04 18:57:00,3
2019-03-04 18:58:00,3
2019-03-04 19:00:00,3
2019-03-04 20:06:00,3
2019-03-04 20:07:00,1
2019-03-04 20:08:00,3
2019-03-04 20:09:00,1
2019-03-04 20:10:00,2
2019-03-04 20:11:00,3
2019-03-04 20:12:00,1
2019-03-04 20:14:00,2
2019-03-04 20:15:00,3
2019-03-04 20:16:00,2
2019-03-04 20:17:00,3
2019-03-04 20:18:00,1
2019-03-04 20:21:00,2
2019-03-04 20:23:00,1
2019-03-04 20:25:00,1
2019-03-04 20:26:00,1
2019-03-04 20:27:00,2
2019-03-04 20:28:00,1
2019-03-04 20:49:00,2
2019-03-04 20:50:00,1
2019-03-04 20:54:00,1
2019-03-04 20:55:00,1
2019-03-04 20:59:00,1
2019-03-04 21:00:00,1
2019-03-04 21:17:00,2
2019-03-04 21:18:00,2
2019-03-04 21:19:00,2
2019-03-04 21:20:00,1
2019-03-04 21:21:00,5
2019-03-04 21:22:00,1
2019-03-04 21:23:00,3
2019-03-04 21:24:00,2
2019-03-04 21:25:00,3
2019-03-04 21:26:00,2
2019-03-04 21:27:00,2
2019-03-04 21:28:00,5
2019-03-04 21:29:00,1
2019-03-04 21:31:00,4
2019-03-04 21:32:00,2
2019-03-04 21:33:00,2
2019-03-04 21:34:00,3
2019-03-04 21:35:00,6
2019-03-04 21:36:00,3
2019-03-04 21:37:00,2
2019-03-04 22:36:00,4
2019-03-04 23:11:00,1
2019-03-04 23:23:00,2
2019-03-04 23:24:00,3
2019-03-04 23:29:00,1
2019-03-04 23:30:00,2
2019-03-04 23:39:00,3
2019-03-04 23:42:00,2
2019-03-04 23:43:00,1
2019-03-04 23:44:00,1
2019-03-05 06:06:00,2
2019-03-05 07:42:00,1
2019-03-05 08:23:00,24
2019-03-05 08:52:00,3
2019-03-05 10:04:00,2
2019-03-05 11:09:00,1
2019-03-05 11:43:00,1
2019-03-05 17:11:00,1
2019-03-05 17:20:00,1
2019-03-05 17:42:00,7
2019-03-05 17:45:00,9
2019-03-05 21:11:00,1
2019-03-05 23:26:00,1
2019-03-07 07:44:00,2
2019-03-07 23:30:00,3
2019-03-08 02:43:00,1
2019-03-08 02:53:00,1
2019-03-08 03:04:00,4
2019-03-14 03:03:00,2
2019-03-14 05:31:00,2
2019-03-14 06:13:00,2
2019-03-14 06:14:00,5
2019-03-14 06:44:00,1
2019-03-14 06:45:00,9
2019-03-14 08:18:00,1
2019-03-14 08:24:00,4
2019-03-14 08:25:00,2
2019-03-14 08:27:00,1
2019-03-14 08:38:00,2
2019-03-14 08:39:00,2
2019-03-14 08:41:00,1
2019-03-14 08:44:00,1
2019-03-14 09:10:00,1
2019-03-14 09:42:00,8
2019-03-14 09:44:00,7
2019-03-14 10:25:00,10
2019-03-14 11:00:00,1
