457,select objid from photoprimary where photoprimary.dec between # and .# and photoprimary.ra between .# and #
2019-03-13 17:19:00,5
2019-03-13 22:35:00,1
2019-03-13 22:39:00,5
2019-03-13 22:47:00,7
2019-03-13 22:48:00,9
2019-03-13 22:49:00,6
2019-03-13 22:50:00,8
2019-03-13 22:51:00,7
2019-03-13 22:52:00,5
2019-03-13 22:53:00,7
2019-03-13 22:54:00,7
2019-03-13 22:55:00,5
2019-03-13 22:56:00,8
2019-03-13 22:57:00,7
2019-03-13 22:58:00,11
2019-03-13 22:59:00,4
2019-03-13 23:00:00,4
2019-03-13 23:01:00,5
2019-03-13 23:02:00,3
2019-03-13 23:03:00,1
