42845,"SELECT sp.objid, sp.ra, sp.dec, sp.class, sp.z as redshift, IS# (m.k, #) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z > # AND sp.z < # AND sp.class = GALAXY#"
2019-12-03 19:21:00,32
2019-12-03 19:22:00,32
2019-12-03 19:23:00,31
2019-12-03 19:24:00,27
2019-12-05 18:12:00,1
2019-12-05 18:13:00,26
2019-12-05 18:14:00,29
2019-12-05 18:15:00,28
2019-12-05 18:16:00,29
2019-12-05 18:17:00,28
2019-12-05 18:18:00,29
2019-12-05 18:19:00,30
2019-12-05 18:20:00,29
2019-12-05 18:21:00,30
2019-12-05 18:22:00,30
2019-12-05 18:23:00,29
2019-12-05 18:24:00,30
2019-12-05 18:25:00,25
2019-12-05 18:26:00,23
2019-12-05 18:27:00,25
2019-12-05 18:28:00,26
2019-12-05 18:29:00,32
2019-12-05 18:30:00,31
2019-12-05 18:31:00,30
2019-12-05 18:32:00,31
2019-12-05 18:33:00,30
2019-12-05 18:34:00,31
2019-12-05 18:35:00,31
2019-12-05 18:36:00,31
2019-12-05 18:37:00,30
2019-12-05 18:38:00,31
2019-12-05 18:39:00,32
2019-12-05 18:40:00,31
2019-12-05 18:41:00,32
2019-12-05 18:42:00,10
2019-12-05 23:52:00,1
2019-12-05 23:53:00,9
2019-12-05 23:54:00,27
2019-12-05 23:55:00,26
2019-12-05 23:56:00,26
2019-12-05 23:57:00,31
2019-12-05 23:58:00,31
2019-12-05 23:59:00,30
2019-12-06 00:00:00,31
2019-12-06 00:01:00,29
2019-12-06 00:02:00,30
2019-12-06 00:03:00,32
2019-12-06 00:04:00,32
2019-12-06 00:05:00,31
2019-12-06 00:06:00,4
2019-12-06 16:42:00,1
2019-12-06 16:43:00,11
2019-12-06 16:44:00,26
2019-12-06 16:45:00,25
2019-12-06 16:46:00,23
2019-12-06 16:47:00,26
2019-12-06 16:48:00,30
2019-12-06 16:49:00,31
2019-12-06 16:50:00,31
2019-12-06 16:51:00,31
2019-12-06 16:52:00,31
2019-12-06 16:53:00,31
2019-12-06 16:54:00,32
2019-12-06 16:55:00,32
2019-12-06 16:56:00,32
2019-12-06 16:57:00,32
2019-12-06 16:58:00,30
2019-12-06 16:59:00,24
2019-12-06 17:00:00,23
2019-12-06 17:01:00,23
2019-12-06 17:02:00,21
2019-12-06 17:03:00,24
2019-12-06 17:04:00,18
2019-12-06 17:05:00,17
2019-12-06 17:06:00,17
2019-12-06 17:07:00,20
2019-12-06 17:08:00,25
2019-12-06 17:09:00,28
2019-12-06 17:10:00,25
