8770,"SELECT objID, parentID, specObjID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i, cModelMag_z, cModelMagErr_u, cModelMagErr_g, cModelMagErr_r, cModelMagErr_i, cModelMagErr_z, petroMag_u, petroMag_g, petroMag_r, petroMag_i, petroMag_z, petroMagErr_u, petroMagErr_g, petroMagErr_r, petroMagErr_i, petroMagErr_z, petroRad_u, petroRad_g, petroRad_r, petroRad_i, petroRad_z, petroR5#_g, petroR5#_r, petroR5#_i, petroR9#_g, petroR9#_r, petroR9#_i, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, expAB_g, expAB_r, expAB_i, expMag_g, expMag_r, expMag_i, flags_u, flags_g, flags_r, flags_i, flags_z, flags, lnLExp_r, lnLDeV_r, type, fracDev_g, fracDev_r, fracDev_i, expRad_g, expRad_r, expRad_i FROM photoObjAll WHERE objID = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = # OR objid = #"
2019-05-16 14:26:00,57
2019-05-16 14:27:00,50
2019-05-16 14:28:00,52
2019-05-16 14:29:00,53
2019-05-16 14:30:00,52
2019-05-16 14:31:00,53
2019-05-16 14:32:00,54
2019-05-16 14:33:00,53
2019-05-16 14:34:00,54
2019-05-16 14:35:00,56
2019-05-16 14:36:00,30
2019-06-24 14:42:00,33
2019-06-24 14:43:00,56
2019-06-24 14:44:00,57
2019-06-24 14:45:00,57
2019-06-24 14:46:00,58
2019-06-24 14:47:00,56
2019-06-24 14:48:00,57
2019-06-24 14:49:00,58
2019-06-24 14:50:00,58
2019-06-24 14:51:00,57
2019-06-24 14:52:00,53
2019-06-24 14:53:00,58
2019-06-24 14:54:00,57
2019-06-24 14:55:00,58
2019-06-24 14:56:00,59
2019-06-24 14:57:00,60
2019-06-24 14:58:00,60
2019-06-24 14:59:00,60
2019-06-24 15:00:00,30
2019-07-09 21:21:00,15
2019-07-10 15:27:00,14
2019-07-10 15:32:00,15
2019-07-10 15:34:00,15
2019-07-10 15:45:00,12
2019-07-10 15:46:00,3
2019-07-10 16:13:00,15
2019-07-10 16:23:00,15
2019-07-10 16:39:00,1
2019-07-10 16:42:00,15
2019-07-10 16:43:00,8
2019-07-10 16:47:00,1
2019-07-10 16:48:00,1
2019-07-10 16:49:00,1
2019-07-10 16:50:00,1
2019-07-10 16:52:00,1
2019-07-10 16:53:00,1
2019-07-10 16:54:00,16
2019-07-10 18:53:00,2
2019-07-10 19:05:00,15
2019-07-11 12:41:00,15
2019-07-11 12:44:00,15
2019-07-11 12:56:00,30
2019-07-11 15:01:00,15
2019-09-26 14:18:00,29
2019-09-26 14:19:00,58
2019-09-26 14:20:00,58
2019-09-26 14:21:00,56
2019-09-26 14:22:00,57
2019-09-26 14:23:00,57
2019-09-26 14:24:00,58
2019-09-26 14:25:00,57
2019-09-26 14:26:00,58
2019-09-26 14:27:00,58
2019-09-26 14:28:00,46
2019-09-26 14:29:00,58
2019-09-26 14:30:00,58
2019-09-26 14:31:00,59
2019-09-26 14:32:00,59
2019-09-26 14:33:00,59
2019-09-26 14:34:00,54
2019-09-26 14:35:00,57
2019-09-26 14:36:00,45
2019-09-26 16:00:00,37
2019-09-26 16:01:00,51
2019-09-26 16:02:00,53
2019-09-26 16:03:00,47
2019-09-26 16:04:00,59
2019-09-26 16:05:00,48
2019-09-26 16:06:00,55
2019-09-26 16:07:00,44
2019-09-26 16:08:00,54
2019-09-26 16:09:00,51
2019-09-26 16:10:00,59
2019-09-26 16:11:00,57
2019-09-26 16:12:00,57
2019-09-26 16:13:00,59
2019-09-26 16:14:00,53
2019-09-26 16:15:00,57
2019-09-26 16:16:00,58
2019-09-26 16:17:00,60
2019-09-26 16:18:00,60
2019-09-26 16:19:00,60
2019-09-26 16:20:00,60
2019-09-26 16:21:00,59
2019-09-26 16:22:00,10
2019-09-26 16:23:00,10
2019-09-26 16:24:00,9
2019-09-26 16:25:00,3
2019-09-26 17:12:00,60
2019-09-26 17:13:00,60
2019-09-26 17:14:00,59
2019-09-26 17:15:00,60
2019-09-26 17:16:00,59
2019-09-26 17:17:00,60
2019-09-26 17:18:00,57
2019-09-26 17:19:00,53
2019-09-26 17:20:00,52
2019-09-26 17:21:00,52
2019-09-26 17:22:00,43
2019-09-26 17:23:00,58
2019-09-26 17:24:00,57
2019-09-26 17:25:00,58
2019-09-26 17:26:00,53
2019-09-26 17:27:00,57
2019-09-26 17:28:00,59
2019-09-26 17:29:00,58
2019-09-26 17:30:00,27
2019-10-02 16:53:00,1
2019-10-02 16:54:00,2
2019-10-02 16:55:00,53
2019-10-02 16:56:00,57
2019-10-02 16:57:00,57
2019-10-02 16:58:00,59
2019-10-02 16:59:00,58
2019-10-02 17:00:00,52
2019-10-02 17:01:00,58
2019-10-02 17:02:00,58
2019-10-02 17:03:00,53
2019-10-02 17:04:00,58
2019-10-02 17:05:00,54
2019-10-02 17:06:00,54
2019-10-02 17:07:00,42
2019-10-02 17:08:00,57
2019-10-02 17:09:00,57
2019-10-02 17:10:00,56
2019-10-02 17:11:00,54
2019-10-02 17:12:00,58
2019-10-02 17:13:00,52
