749,"select p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, dbo.fGetUrlFitsCFrame (fieldid, #) , gn.distance FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-08-31 01:22:00,4
2019-08-31 01:23:00,3
2019-08-31 01:24:00,3
2019-08-31 01:25:00,3
2019-08-31 01:26:00,3
2019-08-31 01:27:00,4
2019-08-31 01:28:00,3
2019-08-31 01:29:00,3
2019-08-31 01:30:00,3
2019-08-31 01:31:00,2
2019-08-31 02:37:00,4
2019-08-31 02:38:00,3
2019-08-31 02:39:00,3
2019-08-31 02:40:00,3
2019-08-31 02:41:00,3
2019-08-31 02:42:00,3
2019-08-31 02:43:00,3
2019-08-31 02:44:00,3
2019-08-31 02:45:00,3
2019-08-31 02:46:00,3
2019-08-31 02:47:00,3
2019-08-31 02:48:00,3
2019-08-31 02:49:00,4
2019-08-31 02:50:00,3
2019-08-31 02:51:00,3
2019-08-31 02:52:00,3
2019-08-31 02:53:00,3
2019-08-31 02:54:00,3
2019-08-31 02:55:00,3
2019-08-31 02:56:00,3
2019-08-31 02:57:00,3
2019-08-31 02:58:00,4
2019-08-31 02:59:00,2
2019-08-31 03:00:00,4
2019-08-31 03:01:00,3
2019-08-31 03:02:00,3
2019-08-31 03:03:00,3
2019-08-31 03:04:00,3
2019-08-31 03:05:00,2
2019-08-31 03:06:00,3
2019-08-31 03:07:00,3
2019-08-31 03:08:00,3
2019-08-31 22:49:00,3
2019-08-31 22:50:00,3
2019-08-31 22:51:00,3
2019-08-31 22:52:00,3
2019-08-31 22:53:00,3
2019-08-31 22:54:00,4
2019-08-31 22:55:00,3
2019-08-31 22:56:00,3
2019-08-31 22:57:00,3
2019-08-31 22:58:00,3
2019-08-31 22:59:00,3
2019-08-31 23:00:00,3
2019-08-31 23:01:00,3
2019-08-31 23:02:00,4
2019-08-31 23:03:00,3
2019-08-31 23:04:00,3
2019-08-31 23:05:00,3
2019-08-31 23:06:00,2
2019-08-31 23:07:00,3
2019-08-31 23:08:00,4
2019-08-31 23:09:00,2
2019-08-31 23:10:00,4
2019-08-31 23:11:00,3
2019-08-31 23:12:00,3
2019-08-31 23:13:00,3
2019-08-31 23:14:00,3
2019-08-31 23:15:00,4
2019-08-31 23:16:00,3
2019-08-31 23:17:00,3
2019-08-31 23:18:00,3
2019-08-31 23:19:00,3
2019-08-31 23:20:00,3
2019-08-31 23:21:00,1
2019-09-01 00:36:00,3
2019-09-01 00:37:00,3
2019-09-01 00:38:00,3
2019-09-01 00:39:00,3
2019-09-01 00:40:00,3
2019-09-01 00:41:00,3
2019-09-01 00:42:00,4
2019-09-01 00:43:00,3
2019-09-01 00:44:00,3
2019-09-01 00:45:00,3
2019-09-01 00:46:00,3
2019-09-01 00:47:00,4
2019-09-01 00:48:00,3
2019-09-01 00:49:00,3
2019-09-01 00:50:00,3
2019-09-01 00:51:00,3
2019-09-01 00:52:00,3
2019-09-01 00:53:00,3
2019-09-01 00:54:00,4
2019-09-01 00:55:00,3
2019-09-01 00:56:00,3
2019-09-01 00:57:00,4
2019-09-01 00:58:00,3
2019-09-01 00:59:00,3
2019-09-01 01:00:00,3
2019-09-01 01:01:00,3
2019-09-01 01:02:00,3
2019-09-01 01:03:00,3
2019-09-01 01:04:00,3
2019-09-01 01:05:00,4
2019-09-01 01:06:00,3
2019-09-01 01:07:00,3
2019-09-01 01:08:00,3
2019-09-01 01:09:00,4
2019-09-01 01:10:00,3
2019-09-01 01:11:00,3
2019-09-01 01:12:00,3
2019-09-01 01:13:00,3
2019-09-01 01:14:00,3
2019-09-01 01:15:00,3
2019-09-01 01:16:00,3
2019-09-01 01:17:00,3
2019-09-01 01:18:00,3
2019-09-01 01:19:00,3
2019-10-14 21:23:00,1
2019-10-14 21:24:00,3
2019-10-14 23:08:00,3
