398,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-11-21 11:43:00,1
2019-11-21 11:47:00,1
2019-11-21 11:48:00,1
2019-11-21 11:54:00,1
2019-11-21 11:57:00,1
2019-11-21 11:58:00,1
2019-11-21 11:59:00,2
2019-11-21 12:00:00,1
2019-11-21 12:03:00,1
2019-11-21 12:05:00,1
2019-11-21 12:06:00,1
2019-11-21 12:11:00,2
2019-11-21 12:18:00,1
2019-11-21 12:27:00,2
2019-11-24 12:30:00,1
2019-11-25 17:20:00,3
2019-11-25 17:21:00,3
2019-11-25 17:26:00,6
2019-11-25 17:28:00,6
2019-11-25 17:29:00,5
2019-11-25 17:30:00,5
2019-11-25 17:34:00,6
2019-11-25 17:38:00,6
2019-11-25 17:39:00,12
2019-11-25 17:40:00,1
2019-11-25 17:46:00,6
2019-11-25 17:49:00,5
2019-11-25 18:10:00,5
2019-11-25 18:12:00,5
2019-11-25 18:13:00,15
2019-11-25 18:14:00,1
2019-11-25 18:15:00,4
2019-11-25 18:17:00,5
2019-11-25 18:18:00,5
2019-11-25 18:19:00,11
2019-11-25 18:35:00,5
2019-11-25 18:36:00,1
2019-11-26 10:42:00,1
2019-12-02 07:48:00,1
2019-12-11 10:47:00,1
