1282,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID"
2019-12-11 08:22:00,1
2019-12-11 08:23:00,1
2019-12-11 08:25:00,1
2019-12-11 08:40:00,1
2019-12-11 08:44:00,1
2019-12-11 08:47:00,1
2019-12-11 09:02:00,1
2019-12-11 09:07:00,1
2019-12-11 09:20:00,1
2019-12-11 09:21:00,1
2019-12-11 09:23:00,1
2019-12-11 09:27:00,1
2019-12-11 09:44:00,1
2019-12-11 09:50:00,1
2019-12-11 09:52:00,1
2019-12-11 09:53:00,1
2019-12-11 09:55:00,1
2019-12-11 09:58:00,1
2019-12-11 09:59:00,1
2019-12-11 10:00:00,1
2019-12-11 18:36:00,1
2019-12-11 18:37:00,3
2019-12-11 21:04:00,1
2019-12-11 21:07:00,1
2019-12-11 21:12:00,1
2019-12-11 21:19:00,1
2019-12-11 21:23:00,1
2019-12-11 21:25:00,1
2019-12-11 21:26:00,2
2019-12-11 21:29:00,1
2019-12-11 22:04:00,1
2019-12-11 22:05:00,1
2019-12-11 22:07:00,1
2019-12-12 00:43:00,1
2019-12-12 01:08:00,1
2019-12-12 01:15:00,1
2019-12-12 01:24:00,1
2019-12-12 01:35:00,1
2019-12-12 01:46:00,1
2019-12-12 02:09:00,1
2019-12-12 02:12:00,2
2019-12-12 02:13:00,2
2019-12-12 02:24:00,1
2019-12-12 02:28:00,1
2019-12-12 02:29:00,1
2019-12-12 02:34:00,1
2019-12-12 02:38:00,1
2019-12-12 02:43:00,1
2019-12-12 02:48:00,1
2019-12-12 02:59:00,1
2019-12-12 03:00:00,2
2019-12-12 03:01:00,2
2019-12-12 03:03:00,1
2019-12-12 03:46:00,1
2019-12-12 03:57:00,1
2019-12-12 04:04:00,1
2019-12-12 04:40:00,1
2019-12-12 04:41:00,1
2019-12-12 04:43:00,1
2019-12-12 04:45:00,1
2019-12-12 04:49:00,1
2019-12-12 05:03:00,1
2019-12-12 05:12:00,1
