3151,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zerr, s.class, s.subclass, s.tfile, s.snmedian FROM SpecObj as s WHERE s.specObjID = dbo.fGetNearestSpecObjIdEq (#, #, #) AND s.zWarning = # AND s.class = #"
2019-11-18 21:27:00,8
2019-11-18 21:28:00,8
2019-11-18 21:29:00,3
2019-11-18 21:30:00,9
2019-11-18 21:31:00,9
2019-11-18 21:32:00,10
2019-11-18 21:33:00,10
2019-11-18 21:34:00,10
2019-11-18 21:35:00,9
2019-11-18 21:36:00,8
2019-11-18 21:37:00,8
2019-11-18 21:38:00,9
2019-11-18 21:39:00,8
2019-11-18 21:40:00,10
2019-11-18 21:41:00,10
2019-11-18 21:42:00,10
2019-11-18 21:43:00,10
2019-11-18 21:44:00,10
2019-11-18 21:45:00,10
2019-11-18 21:46:00,10
2019-11-18 21:47:00,10
2019-11-18 21:48:00,10
2019-11-18 21:49:00,10
2019-11-18 21:50:00,11
2019-11-18 21:51:00,10
2019-11-18 21:52:00,9
2019-11-18 21:53:00,11
2019-11-18 21:54:00,10
2019-11-18 21:55:00,10
2019-11-18 21:56:00,11
2019-11-18 21:57:00,9
2019-11-18 21:58:00,10
2019-11-18 21:59:00,11
2019-11-18 22:00:00,9
2019-11-18 22:01:00,10
2019-11-18 22:02:00,10
2019-11-18 22:03:00,10
2019-11-18 22:04:00,9
2019-11-18 22:05:00,10
2019-11-18 22:06:00,10
2019-11-18 22:07:00,10
2019-11-18 22:08:00,10
2019-11-18 22:09:00,10
2019-11-18 22:10:00,10
2019-11-18 22:11:00,10
2019-11-18 22:12:00,11
2019-11-18 22:13:00,9
2019-11-18 22:14:00,11
2019-11-18 22:15:00,8
2019-11-18 22:16:00,7
2019-11-18 22:17:00,8
2019-11-18 22:18:00,10
2019-11-18 22:19:00,10
2019-11-18 22:20:00,11
2019-11-18 22:21:00,10
2019-11-18 22:22:00,10
2019-11-18 22:23:00,10
2019-11-18 22:24:00,10
2019-11-18 22:25:00,9
2019-11-18 22:26:00,6
2019-11-18 22:27:00,9
2019-11-18 22:28:00,11
2019-11-18 22:29:00,10
2019-11-18 22:30:00,11
2019-11-18 22:31:00,10
2019-11-18 22:32:00,10
2019-11-18 22:33:00,10
2019-11-18 22:34:00,11
2019-11-18 22:35:00,10
2019-11-18 22:36:00,10
2019-11-18 22:37:00,11
2019-11-18 22:38:00,11
2019-11-18 22:39:00,10
2019-11-18 22:40:00,11
2019-11-18 22:41:00,11
2019-11-18 22:42:00,9
2019-11-18 22:43:00,5
2019-11-18 22:44:00,2
2019-11-18 22:45:00,3
2019-11-18 22:46:00,4
2019-11-18 22:47:00,4
2019-11-18 22:48:00,3
2019-11-18 22:49:00,3
2019-11-18 22:50:00,3
2019-11-18 22:51:00,2
2019-11-18 22:52:00,2
2019-11-18 22:53:00,3
2019-11-18 22:54:00,3
2019-11-18 22:55:00,3
2019-11-18 22:56:00,3
2019-11-18 22:57:00,3
2019-11-18 22:58:00,4
2019-11-18 22:59:00,4
2019-11-18 23:00:00,8
2019-11-18 23:01:00,10
2019-11-18 23:02:00,10
2019-11-18 23:03:00,10
2019-11-18 23:04:00,12
2019-11-18 23:05:00,11
2019-11-18 23:06:00,10
2019-11-18 23:07:00,11
2019-11-18 23:08:00,10
2019-11-18 23:09:00,11
2019-11-18 23:10:00,10
2019-11-18 23:11:00,10
2019-11-18 23:12:00,9
2019-11-18 23:13:00,6
2019-11-18 23:14:00,8
2019-11-18 23:15:00,9
2019-11-18 23:16:00,8
2019-11-18 23:17:00,3
2019-11-18 23:18:00,8
2019-11-18 23:19:00,10
2019-11-18 23:20:00,8
2019-11-18 23:21:00,10
2019-11-18 23:22:00,8
2019-11-18 23:23:00,6
2019-11-18 23:24:00,5
2019-11-18 23:25:00,4
2019-11-18 23:26:00,2
