1996,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and #
2019-03-14 00:36:00,8
2019-03-14 00:37:00,7
2019-03-14 00:38:00,7
2019-03-14 00:39:00,9
2019-03-14 00:40:00,7
2019-03-14 00:41:00,6
2019-03-14 00:42:00,6
2019-03-14 00:43:00,4
2019-03-14 00:44:00,6
2019-03-14 00:45:00,6
2019-03-14 00:46:00,7
2019-03-14 00:47:00,7
2019-03-14 00:48:00,8
2019-03-14 00:49:00,6
2019-03-14 00:50:00,10
2019-03-14 00:51:00,5
2019-03-14 00:52:00,8
2019-03-14 00:53:00,8
2019-03-14 00:54:00,7
2019-03-14 00:55:00,7
2019-03-14 00:56:00,8
2019-03-14 00:57:00,9
2019-03-14 00:58:00,5
2019-03-14 00:59:00,9
2019-03-14 01:00:00,7
2019-03-14 01:01:00,5
2019-03-14 01:02:00,6
2019-03-14 01:03:00,5
2019-03-14 01:04:00,3
2019-03-14 01:05:00,1
2019-03-14 01:06:00,2
2019-03-14 07:05:00,12
2019-03-14 07:07:00,11
