261,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE"
2019-04-12 11:44:00,1
2019-04-12 11:46:00,1
2019-04-12 11:47:00,1
2019-04-12 11:49:00,1
2019-04-12 11:51:00,1
2019-04-12 11:54:00,1
2019-04-12 11:56:00,1
2019-04-12 12:04:00,2
2019-04-12 12:11:00,1
2019-04-12 12:14:00,1
2019-04-12 20:28:00,1
2019-04-12 20:29:00,1
2019-04-12 20:31:00,1
2019-04-12 20:46:00,1
2019-04-12 20:51:00,1
2019-04-12 20:52:00,1
2019-04-12 20:53:00,1
2019-04-12 20:57:00,1
2019-04-12 20:59:00,1
2019-04-12 21:08:00,1
2019-04-12 21:10:00,1
2019-04-12 21:12:00,1
2019-04-12 21:18:00,1
2019-04-12 21:19:00,1
2019-04-12 21:21:00,1
2019-04-12 21:23:00,2
2019-04-12 21:35:00,1
2019-04-12 21:36:00,1
2019-04-12 21:37:00,1
2019-04-12 21:38:00,1
2019-04-12 21:59:00,1
2019-04-12 22:05:00,1
2019-04-12 22:27:00,1
2019-04-12 22:32:00,1
2019-04-12 22:33:00,1
2019-04-12 22:34:00,1
2019-04-12 22:36:00,2
2019-04-12 22:43:00,1
2019-04-12 22:49:00,1
2019-04-12 22:50:00,1
2019-04-12 22:53:00,1
2019-04-12 22:58:00,1
2019-04-12 23:00:00,1
2019-04-12 23:02:00,1
2019-04-12 23:11:00,1
2019-04-12 23:14:00,1
2019-04-12 23:15:00,1
2019-04-12 23:18:00,1
2019-04-12 23:22:00,1
2019-04-12 23:24:00,1
2019-04-12 23:27:00,1
2019-04-12 23:31:00,1
2019-04-12 23:39:00,1
2019-04-12 23:40:00,1
2019-04-12 23:43:00,1
2019-04-12 23:47:00,2
