3353,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-07-01 03:16:00,1
2019-07-01 03:20:00,3
2019-07-01 03:21:00,1
2019-07-01 03:22:00,2
2019-07-01 03:23:00,11
2019-07-01 03:24:00,2
2019-07-01 03:25:00,6
2019-07-01 03:26:00,6
2019-07-01 03:30:00,3
2019-07-01 03:33:00,13
2019-07-01 03:34:00,3
2019-07-01 03:35:00,4
2019-07-01 03:36:00,1
2019-07-01 03:37:00,8
2019-07-01 03:40:00,3
2019-07-01 03:42:00,4
2019-07-01 03:43:00,9
2019-07-01 03:44:00,1
2019-07-01 03:45:00,8
2019-07-01 03:46:00,1
2019-07-01 03:47:00,4
2019-07-01 03:50:00,3
2019-07-01 03:52:00,8
2019-07-01 03:53:00,9
2019-07-01 03:54:00,1
2019-07-01 03:55:00,9
2019-07-01 03:56:00,1
2019-07-01 04:00:00,3
2019-07-01 04:03:00,9
2019-07-01 04:04:00,1
2019-07-01 04:05:00,4
2019-07-01 04:06:00,1
2019-07-01 04:07:00,1
2019-07-01 04:08:00,1
2019-07-01 04:10:00,3
2019-07-01 04:13:00,9
2019-07-01 04:14:00,1
2019-07-01 04:15:00,4
2019-07-01 04:16:00,1
2019-07-01 04:20:00,3
2019-07-01 04:23:00,9
2019-07-01 04:24:00,1
2019-07-01 04:25:00,4
2019-07-01 04:26:00,1
2019-07-01 04:30:00,3
2019-07-01 04:33:00,13
2019-07-01 04:34:00,3
2019-07-01 04:35:00,4
2019-07-01 04:36:00,1
2019-07-01 04:40:00,6
2019-07-01 04:43:00,9
2019-07-01 04:44:00,1
2019-07-01 04:45:00,6
2019-07-01 04:46:00,3
2019-07-01 04:50:00,3
2019-07-01 04:53:00,9
2019-07-01 04:54:00,1
2019-07-01 04:55:00,6
2019-07-01 04:56:00,4
2019-07-01 05:00:00,3
2019-07-01 05:03:00,9
2019-07-01 05:04:00,1
2019-07-01 05:05:00,4
2019-07-01 05:06:00,1
2019-07-01 05:10:00,3
2019-07-01 05:13:00,9
2019-07-01 05:14:00,1
2019-07-01 05:15:00,4
2019-07-01 05:16:00,1
2019-07-01 05:20:00,3
2019-07-01 05:23:00,9
2019-07-01 05:24:00,1
2019-07-01 05:25:00,4
2019-07-01 05:26:00,1
2019-07-01 05:27:00,2
2019-07-01 05:29:00,1
2019-07-01 05:30:00,3
2019-07-01 05:32:00,4
2019-07-01 05:33:00,13
2019-07-01 05:34:00,3
2019-07-01 05:35:00,5
2019-07-01 05:36:00,1
2019-07-01 05:40:00,3
2019-07-01 05:43:00,9
2019-07-01 05:44:00,1
2019-07-01 05:45:00,4
2019-07-01 05:46:00,5
2019-07-01 05:50:00,4
2019-07-01 05:51:00,2
2019-07-01 05:53:00,9
2019-07-01 05:54:00,3
2019-07-01 05:55:00,9
2019-07-01 05:56:00,1
2019-07-01 05:58:00,1
2019-07-01 06:00:00,3
2019-07-01 06:03:00,9
2019-07-01 06:04:00,5
2019-07-01 06:05:00,4
2019-07-01 06:06:00,1
2019-07-01 06:09:00,1
2019-07-01 06:10:00,4
2019-07-01 06:13:00,9
2019-07-01 06:14:00,1
2019-07-01 06:15:00,5
2019-07-01 06:16:00,1
2019-07-01 06:20:00,3
2019-07-01 06:23:00,9
2019-07-01 06:24:00,1
2019-07-01 06:25:00,4
2019-07-01 06:26:00,1
2019-07-01 06:30:00,3
2019-07-01 06:33:00,9
2019-07-01 06:34:00,3
2019-07-01 06:35:00,4
2019-07-01 06:36:00,1
2019-07-01 06:40:00,3
2019-07-01 06:43:00,9
2019-07-01 06:44:00,1
2019-07-01 06:45:00,4
2019-07-01 06:46:00,4
2019-07-01 06:47:00,1
2019-07-01 06:50:00,3
2019-07-01 06:53:00,9
2019-07-01 06:54:00,1
2019-07-01 06:55:00,5
2019-07-01 06:56:00,5
2019-07-01 06:59:00,1
2019-07-01 07:00:00,3
2019-07-01 07:03:00,13
2019-07-01 07:04:00,1
2019-07-01 07:05:00,4
2019-07-01 07:06:00,1
2019-07-01 07:08:00,1
2019-07-01 07:10:00,3
2019-07-01 07:11:00,1
2019-07-01 07:13:00,14
2019-07-01 07:14:00,1
2019-07-01 07:15:00,5
2019-07-01 07:16:00,1
2019-07-01 07:17:00,1
2019-07-01 07:18:00,1
2019-07-01 07:19:00,1
2019-07-01 07:20:00,3
2019-07-01 07:22:00,1
2019-07-01 07:23:00,10
2019-07-01 07:24:00,1
2019-07-01 07:25:00,5
2019-07-01 07:26:00,3
2019-07-01 07:29:00,1
2019-07-01 07:30:00,4
2019-07-01 07:31:00,1
2019-07-01 07:33:00,9
2019-07-01 07:34:00,4
2019-07-01 07:35:00,9
2019-07-01 07:36:00,9
2019-07-01 07:37:00,1
2019-07-01 07:38:00,1
2019-07-01 07:40:00,5
2019-07-01 07:41:00,1
2019-07-01 07:42:00,4
2019-07-01 07:43:00,9
2019-07-01 07:44:00,1
2019-07-01 07:45:00,7
2019-07-01 07:46:00,2
2019-07-01 07:50:00,3
2019-07-01 07:53:00,14
2019-07-01 07:54:00,1
2019-07-01 07:55:00,9
2019-07-01 07:56:00,10
2019-07-01 08:00:00,3
2019-07-01 08:02:00,8
2019-07-01 08:03:00,13
2019-07-01 08:04:00,1
2019-07-01 08:05:00,8
2019-07-01 08:06:00,1
2019-07-01 08:07:00,4
2019-07-01 08:10:00,3
2019-07-01 08:13:00,9
2019-07-01 08:14:00,1
2019-07-01 08:15:00,4
2019-07-01 08:16:00,1
2019-07-01 08:20:00,3
2019-07-01 08:21:00,1
2019-07-01 08:22:00,1
2019-07-01 08:23:00,9
2019-07-01 08:24:00,1
2019-07-01 08:25:00,4
2019-07-01 08:26:00,1
2019-07-01 08:30:00,4
2019-07-01 08:33:00,9
2019-07-01 08:34:00,3
2019-07-01 08:35:00,4
2019-07-01 08:36:00,1
2019-07-01 08:40:00,3
2019-07-01 08:43:00,9
2019-07-01 08:44:00,1
2019-07-01 08:45:00,4
2019-07-01 08:46:00,5
2019-07-01 08:50:00,3
2019-07-01 08:53:00,9
2019-07-01 08:54:00,1
2019-07-01 08:55:00,9
2019-07-01 08:56:00,1
2019-07-01 08:59:00,1
2019-07-01 09:00:00,3
2019-07-01 09:03:00,9
2019-07-01 09:04:00,1
2019-07-01 09:05:00,4
2019-07-01 09:06:00,1
2019-07-01 09:07:00,1
2019-07-01 09:10:00,2
2019-07-01 09:11:00,5
2019-07-01 09:13:00,9
2019-07-01 09:14:00,1
2019-07-01 09:15:00,4
2019-07-01 09:16:00,1
2019-07-01 09:20:00,2
2019-07-01 09:21:00,1
2019-07-01 09:23:00,9
2019-07-01 09:24:00,1
2019-07-01 09:25:00,4
2019-07-01 09:26:00,2
2019-07-01 09:30:00,2
2019-07-01 09:31:00,1
2019-07-01 09:33:00,5
2019-07-01 09:34:00,7
2019-07-01 09:35:00,4
2019-07-01 09:36:00,1
2019-07-01 09:40:00,2
2019-07-01 09:41:00,1
2019-07-01 09:43:00,1
2019-07-01 09:44:00,11
2019-07-01 09:45:00,4
2019-07-01 09:46:00,5
2019-07-01 09:50:00,3
2019-07-01 09:53:00,9
2019-07-01 09:54:00,1
2019-07-01 09:55:00,5
2019-07-01 09:56:00,5
2019-07-01 10:00:00,3
2019-07-01 10:03:00,10
2019-07-01 10:04:00,1
2019-07-01 10:05:00,4
2019-07-01 10:06:00,1
2019-07-01 10:10:00,2
2019-07-01 10:11:00,1
2019-07-01 10:13:00,9
2019-07-01 10:14:00,1
2019-07-01 10:15:00,10
2019-07-01 10:16:00,1
2019-07-01 10:20:00,2
2019-07-01 10:21:00,1
2019-07-01 10:23:00,1
2019-07-01 10:24:00,9
2019-07-01 10:25:00,4
2019-07-01 10:26:00,1
2019-07-01 10:30:00,2
2019-07-01 10:31:00,1
2019-07-01 10:33:00,2
2019-07-01 10:34:00,10
2019-07-01 10:35:00,4
2019-07-01 10:36:00,1
2019-07-01 10:39:00,1
2019-07-01 10:40:00,3
2019-07-01 10:41:00,1
2019-07-01 10:42:00,1
2019-07-01 10:43:00,5
2019-07-01 10:44:00,9
2019-07-01 10:45:00,4
2019-07-01 10:46:00,1
2019-07-01 10:48:00,4
2019-07-01 10:49:00,1
2019-07-01 10:50:00,11
2019-07-01 10:51:00,1
2019-07-01 10:53:00,9
2019-07-01 10:54:00,2
2019-07-01 10:55:00,9
2019-07-01 10:56:00,1
2019-07-01 11:00:00,2
2019-07-01 11:01:00,1
2019-07-01 11:03:00,9
2019-07-01 11:04:00,2
2019-07-01 11:05:00,5
2019-07-01 11:06:00,1
2019-07-01 11:07:00,8
2019-07-01 11:10:00,6
2019-07-01 11:11:00,1
2019-07-01 11:13:00,8
2019-07-01 11:14:00,6
2019-07-01 11:15:00,4
2019-07-01 11:16:00,1
2019-07-01 11:18:00,4
2019-07-01 11:19:00,20
2019-07-01 11:20:00,18
2019-07-01 11:21:00,25
2019-07-01 11:22:00,4
2019-07-01 11:23:00,5
2019-07-01 11:24:00,41
2019-07-01 11:25:00,16
2019-07-01 11:26:00,29
2019-07-01 11:27:00,20
2019-07-01 11:28:00,4
2019-07-01 11:30:00,3
2019-07-01 11:31:00,2
2019-07-01 11:33:00,9
2019-07-01 11:34:00,3
2019-07-01 11:35:00,5
2019-07-01 11:36:00,1
2019-07-01 11:38:00,1
2019-07-01 11:40:00,2
2019-07-01 11:41:00,1
2019-07-01 11:43:00,9
2019-07-01 11:44:00,1
2019-07-01 11:45:00,4
2019-07-01 11:46:00,5
2019-07-01 11:51:00,3
2019-07-01 11:53:00,1
2019-07-01 11:54:00,9
2019-07-01 11:55:00,9
2019-07-01 11:56:00,1
2019-07-01 12:01:00,3
2019-07-01 12:03:00,1
2019-07-01 12:04:00,9
2019-07-01 12:05:00,5
2019-07-01 12:06:00,5
2019-07-01 12:09:00,1
2019-07-01 12:10:00,20
2019-07-01 12:11:00,3
2019-07-01 12:12:00,11
2019-07-01 12:13:00,1
2019-07-01 12:14:00,9
2019-07-01 12:15:00,4
2019-07-01 12:16:00,1
2019-07-01 12:18:00,1
2019-07-01 12:21:00,3
2019-07-01 12:23:00,1
2019-07-01 12:24:00,10
2019-07-01 12:25:00,4
2019-07-01 12:26:00,2
2019-07-01 12:30:00,1
2019-07-01 12:31:00,3
2019-07-01 12:33:00,1
2019-07-01 12:34:00,11
2019-07-01 12:35:00,5
2019-07-01 12:36:00,1
2019-07-01 12:41:00,6
2019-07-01 12:43:00,1
2019-07-01 12:44:00,9
2019-07-01 12:45:00,4
2019-07-01 12:46:00,3
2019-07-01 12:47:00,3
2019-07-01 12:51:00,3
2019-07-01 12:53:00,1
2019-07-01 12:54:00,9
2019-07-01 12:55:00,6
2019-07-01 12:56:00,4
2019-07-01 12:59:00,1
2019-07-01 13:01:00,4
2019-07-01 13:02:00,1
2019-07-01 13:03:00,1
2019-07-01 13:04:00,9
2019-07-01 13:05:00,4
2019-07-01 13:06:00,1
2019-07-01 13:08:00,1
2019-07-01 13:10:00,2
2019-07-01 13:11:00,4
2019-07-01 13:13:00,3
2019-07-01 13:14:00,10
2019-07-01 13:15:00,4
2019-07-01 13:16:00,1
2019-07-01 13:21:00,3
2019-07-01 13:23:00,1
2019-07-01 13:24:00,9
2019-07-01 13:25:00,4
2019-07-01 13:26:00,1
2019-07-01 13:27:00,2
2019-07-01 13:28:00,1
2019-07-01 13:29:00,1
2019-07-01 13:31:00,3
2019-07-01 13:33:00,2
2019-07-01 13:34:00,11
2019-07-01 13:35:00,4
2019-07-01 13:36:00,2
2019-07-01 13:37:00,2
2019-07-01 13:38:00,4
2019-07-01 13:41:00,3
2019-07-01 13:43:00,1
2019-07-01 13:44:00,9
2019-07-01 13:45:00,4
2019-07-01 13:46:00,1
2019-07-01 13:47:00,4
2019-07-01 13:49:00,5
2019-07-01 13:51:00,3
2019-07-01 13:52:00,1
2019-07-01 13:53:00,1
2019-07-01 13:54:00,10
2019-07-01 13:55:00,9
2019-07-01 13:56:00,1
2019-07-01 13:57:00,2
2019-07-01 14:01:00,3
2019-07-01 14:02:00,1
2019-07-01 14:03:00,1
2019-07-01 14:04:00,10
2019-07-01 14:05:00,4
2019-07-01 14:06:00,1
2019-07-01 14:11:00,3
2019-07-01 14:13:00,1
2019-07-01 14:14:00,9
2019-07-01 14:15:00,4
2019-07-01 14:16:00,1
2019-07-01 14:21:00,3
2019-07-01 14:23:00,1
2019-07-01 14:24:00,9
2019-07-01 14:25:00,4
2019-07-01 14:26:00,1
2019-07-01 14:31:00,3
2019-07-01 14:33:00,1
2019-07-01 14:34:00,11
2019-07-01 14:35:00,4
2019-07-01 14:36:00,1
2019-07-01 14:37:00,4
2019-07-01 14:41:00,3
2019-07-01 14:43:00,1
2019-07-01 14:44:00,9
2019-07-01 14:45:00,12
2019-07-01 14:46:00,1
2019-07-01 14:50:00,1
2019-07-01 14:51:00,3
2019-07-01 14:52:00,5
2019-07-01 14:53:00,5
2019-07-01 14:54:00,11
2019-07-01 14:55:00,5
2019-07-01 14:56:00,5
2019-07-01 14:58:00,4
2019-07-01 15:01:00,16
2019-07-01 15:02:00,4
2019-07-01 15:03:00,1
2019-07-01 15:04:00,9
2019-07-01 15:05:00,5
2019-07-01 15:06:00,2
2019-07-01 15:07:00,1
2019-07-01 15:11:00,4
2019-07-01 15:12:00,1
2019-07-01 15:13:00,3
2019-07-01 15:14:00,9
2019-07-01 15:15:00,8
2019-07-01 15:16:00,5
2019-07-01 15:17:00,4
2019-07-01 15:19:00,4
2019-07-01 15:21:00,3
2019-07-01 15:23:00,1
2019-07-01 15:24:00,9
2019-07-01 15:25:00,4
2019-07-01 15:26:00,1
2019-07-01 15:27:00,1
2019-07-01 15:31:00,3
2019-07-01 15:33:00,1
2019-07-01 15:34:00,11
2019-07-01 15:35:00,4
2019-07-01 15:36:00,1
2019-07-01 15:41:00,3
2019-07-01 15:43:00,1
2019-07-01 15:44:00,13
2019-07-01 15:45:00,4
2019-07-01 15:46:00,3
2019-07-01 15:47:00,2
2019-07-01 15:51:00,3
2019-07-01 15:53:00,1
2019-07-01 15:54:00,9
2019-07-01 15:55:00,9
2019-07-01 15:56:00,2
2019-07-01 15:59:00,2
2019-07-01 16:01:00,3
2019-07-01 16:03:00,1
2019-07-01 16:04:00,9
2019-07-01 16:05:00,4
2019-07-01 16:06:00,1
2019-07-01 16:07:00,4
2019-07-01 16:08:00,4
2019-07-01 16:11:00,3
2019-07-01 16:13:00,1
2019-07-01 16:14:00,9
2019-07-01 16:15:00,4
2019-07-01 16:16:00,1
2019-07-01 16:21:00,23
2019-07-01 16:23:00,11
2019-07-01 16:24:00,9
2019-07-01 16:25:00,4
2019-07-01 16:26:00,1
2019-07-01 16:27:00,4
2019-07-01 16:28:00,4
2019-07-01 16:31:00,1
2019-07-01 16:32:00,5
2019-07-01 16:33:00,4
2019-07-01 16:34:00,11
2019-07-01 16:35:00,4
2019-07-01 16:36:00,5
2019-07-01 16:43:00,4
2019-07-01 16:44:00,9
2019-07-01 16:45:00,6
2019-07-01 16:46:00,3
2019-07-01 16:53:00,4
2019-07-01 16:54:00,9
2019-07-01 16:55:00,8
2019-07-01 16:56:00,2
2019-07-01 17:00:00,8
2019-07-01 17:01:00,4
2019-07-01 17:03:00,4
2019-07-01 17:04:00,9
2019-07-01 17:05:00,4
2019-07-01 17:06:00,1
2019-07-01 17:11:00,4
2019-07-01 17:13:00,7
2019-07-01 17:14:00,10
2019-07-01 17:15:00,4
2019-07-01 17:16:00,1
2019-07-01 17:17:00,4
2019-07-01 17:21:00,4
2019-07-01 17:23:00,3
2019-07-01 17:24:00,10
2019-07-01 17:25:00,4
2019-07-01 17:26:00,5
2019-07-01 17:27:00,4
2019-07-01 17:29:00,4
2019-07-01 17:31:00,4
2019-07-01 17:33:00,7
2019-07-01 17:34:00,16
2019-07-01 17:35:00,4
2019-07-01 17:36:00,1
2019-07-01 17:37:00,4
2019-07-01 17:43:00,3
2019-07-01 17:44:00,10
2019-07-01 17:45:00,4
2019-07-01 17:46:00,5
2019-07-01 17:49:00,4
2019-07-01 17:52:00,4
2019-07-01 17:53:00,3
2019-07-01 17:54:00,10
2019-07-01 17:55:00,8
2019-07-01 17:56:00,2
2019-07-01 18:01:00,10
2019-07-01 18:02:00,5
2019-07-01 18:03:00,3
2019-07-01 18:04:00,10
2019-07-01 18:05:00,16
2019-07-01 18:06:00,4
2019-07-01 18:12:00,4
2019-07-01 18:13:00,3
2019-07-01 18:14:00,10
2019-07-01 18:15:00,8
2019-07-01 18:16:00,1
2019-07-01 18:17:00,4
2019-07-01 18:22:00,4
2019-07-01 18:23:00,3
2019-07-01 18:24:00,10
2019-07-01 18:25:00,4
2019-07-01 18:26:00,1
2019-07-01 18:31:00,4
2019-07-01 18:33:00,7
2019-07-01 18:34:00,16
2019-07-01 18:35:00,4
2019-07-01 18:36:00,1
2019-07-01 18:43:00,3
2019-07-01 18:44:00,10
2019-07-01 18:45:00,8
2019-07-01 18:46:00,1
2019-07-01 18:53:00,3
2019-07-01 18:54:00,14
2019-07-01 18:55:00,9
2019-07-01 18:56:00,1
2019-07-01 18:57:00,4
2019-07-01 18:58:00,4
2019-07-01 19:02:00,1
2019-07-01 19:03:00,3
2019-07-01 19:04:00,14
2019-07-01 19:05:00,4
2019-07-01 19:06:00,1
2019-07-01 19:13:00,3
2019-07-01 19:14:00,10
2019-07-01 19:15:00,8
2019-07-01 19:16:00,1
2019-07-01 19:23:00,3
2019-07-01 19:24:00,10
2019-07-01 19:25:00,4
2019-07-01 19:26:00,1
2019-07-01 19:27:00,4
2019-07-01 19:33:00,3
2019-07-01 19:34:00,12
2019-07-01 19:35:00,4
2019-07-01 19:36:00,1
2019-07-01 19:43:00,7
2019-07-01 19:44:00,10
2019-07-01 19:45:00,8
2019-07-01 19:46:00,1
2019-07-01 19:53:00,3
2019-07-01 19:54:00,10
2019-07-01 19:55:00,6
2019-07-01 19:56:00,4
2019-07-01 20:03:00,3
2019-07-01 20:04:00,10
2019-07-01 20:05:00,4
