1802,update Parameters with (tablockx) set progress=# where hash=# and progress=#
2019-02-01 17:19:00,9
2019-02-01 17:20:00,6
2019-02-01 17:21:00,5
2019-02-01 17:22:00,9
2019-02-01 17:23:00,6
2019-02-01 17:24:00,9
2019-02-01 17:25:00,8
2019-02-01 17:26:00,7
2019-02-01 17:27:00,12
2019-02-01 17:28:00,7
2019-02-01 17:29:00,5
2019-02-01 17:30:00,10
2019-02-01 17:31:00,6
2019-02-01 17:32:00,11
2019-02-01 17:33:00,9
2019-02-01 17:34:00,8
2019-02-01 17:35:00,10
2019-02-01 17:36:00,9
2019-02-01 17:37:00,11
2019-02-01 17:38:00,6
2019-02-01 17:39:00,4
2019-02-01 17:40:00,8
2019-02-01 17:41:00,12
2019-02-01 17:42:00,10
2019-02-01 17:43:00,9
2019-02-01 17:44:00,8
2019-02-01 17:45:00,12
2019-02-01 17:46:00,7
2019-02-01 17:47:00,9
2019-02-01 17:48:00,8
2019-02-01 17:49:00,5
2019-02-01 17:50:00,9
2019-02-01 17:51:00,6
2019-02-01 17:52:00,10
2019-02-01 17:53:00,9
2019-02-01 17:54:00,7
2019-02-01 17:55:00,8
2019-02-01 17:56:00,6
2019-02-01 17:57:00,6
2019-02-01 17:58:00,9
2019-02-01 17:59:00,11
2019-02-01 18:00:00,8
2019-02-01 18:01:00,13
2019-02-01 18:02:00,10
2019-02-01 18:03:00,9
2019-02-01 18:04:00,6
2019-02-01 18:05:00,9
2019-02-01 18:06:00,8
2019-02-01 18:07:00,6
2019-02-01 18:08:00,8
2019-02-01 18:09:00,6
2019-02-01 18:10:00,11
2019-02-01 18:11:00,8
2019-02-01 18:12:00,12
2019-02-01 18:13:00,7
2019-02-01 18:14:00,10
2019-02-01 18:15:00,9
2019-02-01 18:16:00,9
2019-02-01 18:17:00,9
2019-02-01 18:18:00,7
2019-02-01 18:19:00,5
2019-02-01 18:20:00,8
2019-02-01 18:21:00,9
2019-02-01 18:22:00,7
2019-02-01 18:23:00,10
2019-02-01 18:24:00,8
2019-02-01 18:25:00,9
2019-02-01 18:26:00,8
2019-02-01 18:27:00,9
2019-02-01 18:28:00,7
2019-02-01 18:29:00,6
2019-02-01 18:30:00,12
2019-02-01 18:31:00,8
2019-02-01 18:32:00,6
2019-02-01 18:33:00,9
2019-02-01 18:34:00,5
2019-02-01 18:35:00,12
2019-02-01 18:36:00,8
2019-02-01 18:37:00,8
2019-02-01 18:38:00,6
2019-02-01 18:39:00,12
2019-02-01 18:40:00,7
2019-02-01 18:41:00,9
2019-02-01 18:42:00,9
2019-02-01 18:43:00,9
2019-02-01 18:44:00,8
2019-02-01 18:45:00,9
2019-02-01 18:46:00,8
2019-02-01 18:47:00,10
2019-02-01 18:48:00,9
2019-02-01 18:49:00,7
2019-02-01 18:50:00,8
2019-02-01 18:51:00,11
2019-02-01 18:52:00,7
2019-02-01 18:53:00,5
2019-02-01 18:54:00,8
2019-02-01 18:55:00,11
2019-02-01 18:56:00,9
2019-02-01 18:57:00,5
2019-02-01 18:58:00,6
2019-02-01 18:59:00,11
2019-02-01 19:00:00,7
2019-02-01 19:01:00,5
2019-02-01 19:02:00,4
2019-02-01 19:03:00,10
2019-02-01 19:04:00,8
2019-02-01 19:05:00,7
2019-02-01 19:06:00,3
